iso,pressure,free_gb,swap_gb,compressed_gb
2026-09-19T14:03:44.135Z,1,8.2,1.8,11.0
2026-09-19T14:04:04.222Z,1,7.1,1.8,12.9
2026-09-19T14:04:24.271Z,1,8.3,1.8,10.6
2026-09-19T14:04:44.322Z,1,8.4,1.8,10.5
2026-09-19T14:05:04.362Z,1,7.2,1.8,12.8
2026-09-19T14:05:24.433Z,1,7.2,1.8,13.0
2026-09-19T14:05:44.512Z,2,6.8,1.8,13.7
2026-09-19T14:06:04.590Z,2,7.5,1.8,12.3
2026-09-19T14:06:24.606Z,1,20.8,1.8,4.4
2026-09-19T14:06:44.767Z,1,10.0,1.8,7.3
2026-09-19T14:07:04.844Z,1,9.8,1.8,9.3
2026-09-19T14:07:24.899Z,1,8.0,1.8,11.3
2026-09-19T14:07:45.031Z,1,9.8,1.8,8.9
2026-09-19T14:08:05.076Z,1,8.1,1.8,11.1
2026-09-19T14:08:25.146Z,1,10.5,1.8,6.5
2026-09-19T14:08:45.217Z,1,8.0,1.8,11.4
2026-09-19T14:09:05.379Z,1,7.5,1.8,12.3
2026-09-19T14:09:25.525Z,2,6.8,1.8,13.6
2026-09-19T14:09:45.609Z,2,7.9,1.8,11.7
2026-09-19T14:10:05.711Z,1,8.7,1.8,10.2
2026-09-19T14:10:25.739Z,1,7.3,1.8,12.5
2026-09-19T14:10:45.753Z,1,20.2,1.8,4.4
2026-09-19T14:11:05.828Z,1,11.6,1.8,4.2
2026-09-19T14:11:25.865Z,2,9.1,1.8,11.6
2026-09-19T14:11:45.914Z,1,8.3,1.8,10.7
2026-09-19T14:12:05.933Z,1,8.8,1.8,10.1
2026-09-19T14:12:26.052Z,2,7.1,1.8,13.1
2026-09-19T14:12:46.102Z,1,8.8,1.8,9.8
2026-09-19T14:13:06.139Z,2,8.4,1.8,11.1
2026-09-19T14:13:26.182Z,1,7.6,1.8,12.1
2026-09-19T14:13:46.249Z,1,7.6,1.8,12.1
2026-09-19T14:14:06.379Z,1,7.9,1.8,11.3
2026-09-19T14:14:26.429Z,1,8.1,1.8,10.9
2026-09-19T14:14:46.505Z,2,6.8,1.8,13.4
2026-09-19T14:15:06.520Z,1,21.1,1.8,4.3
2026-09-19T14:15:26.589Z,1,18.8,1.8,4.0
2026-09-19T14:15:46.625Z,1,9.2,1.8,8.8
2026-09-19T14:16:06.665Z,1,9.2,1.8,9.6
2026-09-19T14:16:26.756Z,1,7.7,1.8,11.6
2026-09-19T14:16:46.818Z,1,7.7,1.8,11.7
2026-09-19T14:17:06.891Z,1,7.2,1.8,12.5
2026-09-19T14:17:26.928Z,2,9.0,1.8,11.1
2026-09-19T14:17:46.978Z,1,8.5,1.8,10.1
2026-09-19T14:18:07.027Z,1,8.0,1.8,11.1
